Species_Code,Common_Name,Scientific_Name,Date,Bird_Count,lat,lng,subId,Notable_Normal,Year,Month,Day,Family_Name,Notable
limpki,Limpkin,Aramus guarauna,2021-07-25 09:45,8.0,26.5019164,-81.1724854,S92455681,1,2021,7,25,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-25 08:10,1.0,26.375442,-81.60402059999998,S92275218,1,2021,7,25,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-25 08:06,1.0,26.631443,-80.23322940000001,S92267476,1,2021,7,25,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-25 07:54,1.0,26.3133434,-80.9832287,S92455675,1,2021,7,25,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-25 07:47,1.0,27.864422100000002,-82.2279855,S92309304,1,2021,7,25,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-25 07:44,2.0,28.04403,-81.2239629,S92368509,1,2021,7,25,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-25 07:40,2.0,25.7646485,-80.8198929,S92269534,1,2021,7,25,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-25 07:09,3.0,26.8178063,-80.11705479999999,S92266386,1,2021,7,25,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-25 07:06,1.0,26.064472600000002,-80.37835190000001,S92266741,1,2021,7,25,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-25 06:50,2.0,26.537474699999997,-81.85458179999999,S92265352,1,2021,7,25,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-25,1.0,27.453712899999996,-81.3137412,S92420818,1,2021,7,25,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 20:20,2.0,29.606645,-82.303383,S92251441,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 18:28,2.0,27.885123999999998,-82.251976,S92246212,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 18:05,1.0,28.669428200000002,-81.5832281,S92245344,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 12:46,3.0,29.6068756,-82.3031116,S92230780,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 12:32,1.0,29.965378899999997,-90.3415312,S92242504,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 12:15,1.0,28.4103887,-81.57160879999999,S92239220,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 11:39,1.0,27.4222797,-82.43606319999999,S92225839,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 10:30,1.0,28.625749900000002,-81.32046820000001,S92226717,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 10:21,1.0,27.9465497,-82.7934623,S92233252,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 09:27,4.0,32.971269,-80.040436,S92224149,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 09:00,3.0,27.823030300000003,-80.70786140000001,S92422903,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 08:39,1.0,29.5491092,-82.292372,S92218204,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 08:31,3.0,28.3593428,-81.5909958,S92248606,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 08:17,1.0,26.6085272,-81.91796640000001,S92221088,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 08:15,4.0,26.484543900000002,-80.6574823,S92233031,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 07:50,1.0,26.884808399999997,-82.2877679,S92383340,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 07:45,1.0,27.872086199999995,-82.6715183,S92260983,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 07:30,3.0,27.7424626,-82.6626306,S92244471,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 07:26,1.0,28.368821399999998,-81.5570068,S92216914,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 07:26,1.0,26.1769932,-81.7844796,S92213398,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 07:00,1.0,33.4841686,-84.2789641,S92385158,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-24 07:00,1.0,28.691290000000002,-81.40348399999999,S92232115,1,2021,7,24,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-23 20:06,3.0,27.012577,-82.03625600000001,S92202072,1,2021,7,23,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-23 18:30,1.0,27.3444035,-82.4482457,S92236961,1,2021,7,23,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-23 15:32,1.0,27.245431,-82.306427,S92249283,1,2021,7,23,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-23 10:55,1.0,28.695783000000002,-81.411192,S92210393,1,2021,7,23,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-23 10:11,7.0,32.957262,-80.018992,S92174351,1,2021,7,23,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-23 09:59,1.0,26.294139899999998,-81.48595440000001,S92177524,1,2021,7,23,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-23 09:48,2.0,28.3994038,-80.8301926,S92174059,1,2021,7,23,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-23 09:30,1.0,27.913417,-82.77490350000001,S92208955,1,2021,7,23,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-23 09:29,1.0,28.229994899999998,-80.81105229999999,S92176883,1,2021,7,23,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-23 09:21,1.0,27.776199,-80.496848,S92171489,1,2021,7,23,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-23 08:55,3.0,27.8452331,-82.7763927,S92226601,1,2021,7,23,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-23 08:55,1.0,29.617994300000003,-82.25116729999999,S92171048,1,2021,7,23,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-23 08:46,2.0,28.3312609,-81.27785329999999,S92196474,1,2021,7,23,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-23 08:15,2.0,27.883224900000002,-82.8083432,S92196559,1,2021,7,23,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-23 07:51,2.0,27.91258,-82.774232,S92173041,1,2021,7,23,Aramidae,No
